Student_ID,Major_Category,Pre_GPA,GenAI_Hours,Study_Hours,Post_GPA,Skill_Retention_Score,Anxiety_Level_During_Exams,Burnout_Risk_Level,GPA_Improvement,AI_Usage,Study_AI_Ratio
111236,Business,2.59,2,21.33,3.60,93.2,4.0,Medium,1.01,Light,10.67
108125,STEM,2.94,7,12.03,3.93,87.56,1.0,Low,0.99,Moderate,1.72
102060,Business,2.27,7,25.8,3.21,100.0,6.0,Medium,0.94,Moderate,3.69
128333,Business,3.03,9,17.76,3.96,100.0,1.0,Low,0.93,Moderate,1.97
109581,STEM,3.02,11,14.13,3.94,83.87,4.0,High,0.92,Moderate,1.28
113808,STEM,3.10,4,23.07,4.00,100.0,4.0,Medium,0.90,Light,5.77
102987,STEM,2.10,4,14.29,2.99,95.45,3.0,Medium,0.89,Light,3.57
113509,Humanities,1.81,17,18.67,2.70,96.52,3.0,High,0.89,Heavy,1.1
101877,Business,3.04,21,21.72,3.90,90.41,3.0,High,0.86,Heavy,1.03
130335,Business,2.97,0,24.09,3.83,97.17,6.0,Medium,0.86,Light,
136453,STEM,2.37,4,21.29,3.23,82.05,4.0,Low,0.86,Light,5.32
144254,Humanities,2.38,16,30.71,3.24,69.69,1.0,Medium,0.86,Heavy,1.92
102590,Business,2.04,8,23.32,2.89,84.93,8.0,Medium,0.85,Moderate,2.92
107261,STEM,2.53,16,18.77,3.38,100.0,1.0,Medium,0.85,Heavy,1.17
123451,STEM,2.88,13,7.2,3.73,75.84,6.0,High,0.85,Heavy,0.55
134682,STEM,2.83,10,12.24,3.68,71.82,6.0,Medium,0.85,Moderate,1.22
140487,STEM,2.60,11,14.17,3.45,90.87,6.0,Medium,0.85,Moderate,1.29
143350,STEM,1.74,6,7.88,2.59,85.81,8.0,Medium,0.85,Light,1.31
108224,Medical,2.60,6,19.71,3.44,100.0,3.0,High,0.84,Light,3.29
111964,STEM,2.37,4,14.05,3.21,92.17,2.0,Low,0.84,Light,3.51
139980,STEM,2.49,21,13.27,3.33,94.18,8.0,Medium,0.84,Heavy,0.63
112406,STEM,2.54,4,17.27,3.37,75.69,4.0,Low,0.83,Light,4.32
113809,STEM,2.68,12,13.35,3.51,65.87,6.0,Medium,0.83,Moderate,1.11
118225,STEM,2.83,15,12.14,3.66,75.87,5.0,Medium,0.83,Heavy,0.81
126966,STEM,3.00,25,14.54,3.83,71.9,8.0,High,0.83,Heavy,0.58
101033,STEM,2.30,9,18.21,3.12,79.57,2.0,High,0.82,Moderate,2.02
103465,STEM,2.97,8,16.34,3.79,87.12,1.0,Low,0.82,Moderate,2.04
103748,Humanities,2.98,3,24.12,3.80,65.55,5.0,Medium,0.82,Light,8.04
110050,Medical,3.15,37,17.91,3.97,97.07,8.0,High,0.82,Heavy,0.48
122751,Arts,2.24,16,23.82,3.06,93.02,2.0,Medium,0.82,Heavy,1.49
123082,Arts,2.51,34,15.52,3.33,93.33,4.0,High,0.82,Heavy,0.46
147952,Medical,2.54,15,20.14,3.36,99.51,4.0,Medium,0.82,Heavy,1.34
101800,STEM,2.84,5,19.22,3.65,100.0,3.0,Medium,0.81,Light,3.84
103399,STEM,2.42,4,24.03,3.23,100.0,3.0,High,0.81,Light,6.01
105168,STEM,2.76,0,12.62,3.57,77.51,7.0,Medium,0.81,Light,
136333,STEM,2.73,3,16.37,3.54,84.8,7.0,High,0.81,Light,5.46
101089,Medical,2.75,8,10.34,3.55,97.75,4.0,Low,0.80,Moderate,1.29
118863,STEM,2.62,2,20.01,3.42,95.89,3.0,Medium,0.80,Light,10.01
121248,STEM,2.64,2,19.2,3.44,100.0,2.0,Low,0.80,Light,9.6
143194,STEM,2.61,2,13.6,3.41,77.11,4.0,Medium,0.80,Light,6.8
103249,Medical,2.49,7,16.55,3.28,64.39,6.0,Medium,0.79,Moderate,2.36
109767,Business,3.21,3,14.98,4.00,76.4,5.0,Low,0.79,Light,4.99
114015,STEM,2.65,1,27.35,3.44,62.08,2.0,Low,0.79,Light,27.35
114942,STEM,2.20,8,16.04,2.99,92.44,5.0,High,0.79,Moderate,2.01
115441,Arts,2.31,13,17.66,3.10,100.0,3.0,High,0.79,Heavy,1.36
120592,Arts,3.16,19,11.93,3.95,91.95,1.0,High,0.79,Heavy,0.63
121054,Humanities,3.07,7,13.11,3.86,87.12,3.0,Low,0.79,Moderate,1.87
122982,Arts,3.15,4,11.75,3.94,85.72,4.0,Low,0.79,Light,2.94
130184,STEM,2.28,35,7.37,3.07,91.68,10.0,High,0.79,Heavy,0.21
144974,STEM,2.98,10,19.61,3.77,86.42,5.0,Medium,0.79,Moderate,1.96
149181,STEM,2.71,2,13.7,3.50,87.83,4.0,Medium,0.79,Light,6.85
103186,Business,2.94,27,14.13,3.72,90.74,6.0,High,0.78,Heavy,0.52
114303,STEM,2.38,1,12.01,3.16,71.3,3.0,Medium,0.78,Light,12.01
118084,Medical,2.41,0,11.44,3.19,100.0,2.0,Medium,0.78,Light,
120383,STEM,1.52,3,18.75,2.30,76.27,3.0,Medium,0.78,Light,6.25
